eventid,date,country_txt,region_txt,city,latitude,longitude,attacktype1_txt,attacktype2_txt,targtype1_txt,targtype2_txt,targtype3_txt,targsubtype1_txt,targsubtype2_txt,targsubtype3_txt,gname,gsubname,gname2,gsubname2,success,suicide,extended,motive,target1,weaptype1_txt,nkill,nwound,summary
197001000000.0,1970-01-11,Ethiopia,Sub-Saharan Africa,Unknown,,,Unknown,,Military,,,"Military Personnel (soldiers, troops, officers, forces)",,,Eritrean Liberation Front,,,,True,False,False,,Soldier,Unknown,1,0,
197001000000.0,1970-01-12,United States,North America,New York City,40.697132,-73.931351,Bombing/Explosion,,Educational Institution,,,School/University/Educational Building,,,Black Nationalists,,,,True,False,False,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,James Madison High School,Explosives,0,0,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school."
197001000000.0,1970-01-12,United States,North America,Rio Grande,18.379998,-65.830948,Bombing/Explosion,,Business,,,Multinational Corporation,,,Strikers,,,,True,False,False,,General Electric factory in Rio Grande Puerto Rico,Explosives,0,0,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages."
197001000000.0,1970-01-13,United States,North America,Seattle,47.610786,-122.331306,Facility/Infrastructure Attack,,Business,,,Retail/Grocery/Bakery,,,Black Nationalists,,,,True,False,False,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,"Fuson's Department Store, Seattle Washington",Incendiary,0,0,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store."
197001000000.0,1970-01-14,United States,North America,Champaign,40.116748,-88.23927,Facility/Infrastructure Attack,,Police,,,"Police Building (headquarters, station, school)",,,Black Nationalists,,,,True,False,False,,Champaign Police Department,Incendiary,0,1,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned."
197001000000.0,1970-01-15,Uruguay,South America,Montevideo,-34.891151,-56.187214,Armed Assault,,Educational Institution,,,School/University/Educational Building,,,Tupamaros (Uruguay),,,,True,False,False,,"Secondary School, Chemistry Lab",Firearms,0,0,
197001000000.0,1970-01-19,United States,North America,Seattle,47.610786,-122.331306,Bombing/Explosion,,Educational Institution,,,School/University/Educational Building,,,Black Nationalists,,,,True,False,False,The incident took place during disturbances between the Black Student Union and the university.,"Liberal Arts and Garrand buildings, Seattle University",Explosives,0,0,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages."
197001000000.0,1970-01-19,United States,North America,Seattle,47.610786,-122.331306,Bombing/Explosion,,Military,,,Military Recruiting Station/Academy,,,Student Radicals,,,,False,False,False,The incident took place during heightened antiwar sentiments in Seattle Washington.,Air Force R.O.T.C. at the University of Washington,Explosives,0,0,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed."
197001000000.0,1970-01-19,United States,North America,Jersey City,40.717892,-74.067467,Facility/Infrastructure Attack,Armed Assault,Violent Political Party,,,Party Office/Facility,,,White extremists,,,,True,False,False,Intimidate the Black Panther Party.,Headquarters,Incendiary,0,0,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages."
197001000000.0,1970-01-20,Guatemala,Central America & Caribbean,Guatemala City,14.622869,-90.529068,Assassination,,Government (Diplomatic),,,Embassy/Consulate,,,Unknown,,,,True,False,False,,"Bodyguard, British Consul",Unknown,1,0,
197001000000.0,1970-01-21,Philippines,Southeast Asia,Quezon City,14.67428,121.057495,Bombing/Explosion,,Government (Diplomatic),,,Embassy/Consulate,,,Unknown,,,,True,False,False,,JUSMAG HQ,Explosives,0,0,
197001000000.0,1970-01-22,Venezuela,South America,Caracas,10.482834,-66.962128,Hostage Taking (Kidnapping),,Business,,,Retail/Grocery/Bakery,,,Armed Forces of National Liberation- Venezuela (FALN),,,,True,False,False,,"Leon Jacobo Taurel, son",Unknown,0,0,
197001000000.0,1970-01-22,United States,North America,South Sioux City,42.47031,-96.413949,Bombing/Explosion,,Private Citizens & Property,,,House/Apartment/Residence,,,Strikers,,,,True,False,False,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,,Explosives,0,0,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
197001000000.0,1970-01-25,United States,North America,West Point,33.60651,-88.650419,Facility/Infrastructure Attack,,Private Citizens & Property,,,Race/Ethnicity Identified,,,White extremists,,,,True,False,False,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,Building used as a meeting place for African Americans.,Incendiary,0,0,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point."
197001000000.0,1970-01-25,United States,North America,New York City,40.697132,-73.931351,Armed Assault,,Police,,,Police Security Forces/Officers,,,Black Nationalists,,,,True,False,False,To kill police,New York Police Officers responding to a call in Harlem,Firearms,0,2,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived."
197001000000.0,1970-01-26,United States,North America,West Point,33.60651,-88.650419,Bombing/Explosion,,Government (General),,,Judge/Attorney/Court,,,Black Nationalists,,,,True,False,False,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,Clay County Courthouse,Explosives,0,0,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered."
197001000000.0,1970-01-26,United States,North America,New York City,40.697132,-73.931351,Armed Assault,,Police,,,Police Patrol (including vehicles and convoys),,,Black Nationalists,,,,True,False,False,To kill police,New York Police Officer on patrol in Forest Hills,Firearms,0,0,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit."
197001000000.0,1970-01-27,United States,North America,Norwalk,41.241996,-82.615241,Facility/Infrastructure Attack,,Government (General),,,Government Building/Facility/Office,,,Left-Wing Militants,,,,True,False,False,Protest and sabotage the draft,Selective Service office in Norwalk Ohio,Incendiary,0,0,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages."
197001000000.0,1970-01-28,East Germany (GDR),Eastern Europe,Berlin,52.50153,13.401851,Facility/Infrastructure Attack,,Police,,,Police Security Forces/Officers,,,Unknown,,,,True,False,False,,Residence of President of Penal Office,Incendiary,0,0,
197001000000.0,1970-01-28,United States,North America,Seattle,47.610786,-122.331306,Bombing/Explosion,,Religious Figures/Institutions,,,Place of Worship,,,White extremists,,,,True,False,False,,Temple De Hirsch,Explosives,0,0,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area."
197001000000.0,1970-01-30,United States,North America,South Sioux City,42.479999,-96.413046,Bombing/Explosion,,Unknown,,,,,,Strikers,,,,True,False,False,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,,Explosives,0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
197001000000.0,1970-01-30,United States,North America,South Sioux City,42.46634,-96.41405,Bombing/Explosion,,Business,,,Retail/Grocery/Bakery,,,Strikers,,,,True,False,False,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,A & B Boat Shop,Explosives,0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
197001000000.0,1970-01-30,United States,North America,Coral Gables,25.720851,-80.277857,Facility/Infrastructure Attack,,Military,,,Military Recruiting Station/Academy,,,Student Radicals,,,,True,False,False,To protest the R.O.T.C. program and the War in Vietnam,"Army R.O.T.C., University of Miami",Incendiary,0,0,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode."
197001000000.0,1970-01-31,Philippines,Southeast Asia,Bamban,15.675051,120.331618,Unknown,,Military,,,"Military Personnel (soldiers, troops, officers, forces)",,,New People's Army (NPA),,,,False,False,False,,Seaman,Unknown,0,1,
197001000000.0,1970-01-31,United States,North America,Denver,39.758968,-104.876305,Bombing/Explosion,,Police,,,"Police Building (headquarters, station, school)",,,Unknown,,,,True,False,False,,"Police Band Building, Denver Colorado",Explosives,0,0,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged."
197002000000.0,1970-02-01,United States,North America,Portland,45.511795,-122.675629,Facility/Infrastructure Attack,,Government (General),,,Government Building/Facility/Office,,,Left-Wing Militants,,,,True,False,False,Protest and sabotage the draft,Selective Service office Local Board No. 28 in Portland Oregon,Incendiary,0,0,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage."
197002000000.0,1970-02-01,United States,North America,Cairo,37.005105,-89.176269,Armed Assault,,Police,,,"Police Building (headquarters, station, school)",,,Black Nationalists,,,,True,False,False,To protest police presence in Pyramid Courts,Illinois State Police in the Pyramid Courts housing project,Firearms,0,0,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered."
197002000000.0,1970-02-02,United States,North America,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,,Business,,,Retail/Grocery/Bakery,,,Unknown,,,,False,False,False,,Mays Department Store in Manhattan,Incendiary,0,0,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City."
197002000000.0,1970-02-03,United States,North America,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,,Business,,,Retail/Grocery/Bakery,,,Unknown,,,,False,False,False,,Alexander's Department Store in the Bronx,Incendiary,0,0,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States."
197002000000.0,1970-02-03,United States,North America,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,,Business,,,Retail/Grocery/Bakery,,,Unknown,,,,False,False,False,,Alexander's Department Store in Manhattan,Incendiary,0,0,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage."
197002000000.0,1970-02-04,United States,North America,Akron,41.084195,-81.514059,Bombing/Explosion,,Private Citizens & Property,,,Vehicles/Transportation,,,Strikers,,,,True,False,False,The attack occurred during the violent Iowa Beef Packers strike.,,Explosives,0,0,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages."
197002000000.0,1970-02-06,United States,North America,Denver,39.758968,-104.876305,Bombing/Explosion,,Transportation,,,Bus (excluding tourists),,,Black Nationalists,,,,True,False,False,Sabotage/protest the integration of Denver City Schools.,Denver City School Buses,Explosives,0,0,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties."
197002000000.0,1970-02-06,United States,North America,Seattle,47.610786,-122.331306,Bombing/Explosion,,Government (General),,,Politician or Political Party Movement/Meeting/Rally,,,White extremists,,,,True,False,False,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Fred Dore,Explosives,0,0,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes."
197002000000.0,1970-02-06,United States,North America,Seattle,47.610786,-122.331306,Bombing/Explosion,,Religious Figures/Institutions,,,Place of Worship,,,White extremists,,,,True,False,False,,,Explosives,0,0,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area."
197002000000.0,1970-02-06,United States,North America,Dorado,18.460791,-66.264884,Facility/Infrastructure Attack,,Government (General),,,Government Building/Facility/Office,,,Armed Revolutionary Independence Movement (MIRA),,,,True,False,False,To fight imperialism and exploitation.,Selective Service office in Dorado Puerto Rico,Incendiary,0,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
197002000000.0,1970-02-06,United States,North America,Rio Piedras,18.386932,-66.061127,Facility/Infrastructure Attack,,Utilities,,,Electricity,,,Armed Revolutionary Independence Movement (MIRA),,,,True,False,False,To fight imperialism and exploitation.,,Incendiary,0,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
197002000000.0,1970-02-06,United States,North America,Carolina,18.441963,-66.026316,Facility/Infrastructure Attack,,Business,,,Hotel/Resort,,,Armed Revolutionary Independence Movement (MIRA),,,,True,False,False,To fight imperialism and exploitation.,San Juan Hotel,Incendiary,0,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
197002000000.0,1970-02-06,United States,North America,Boston,42.3505,-71.105399,Facility/Infrastructure Attack,,Military,,,Military Recruiting Station/Academy,,,Student Radicals,,,,True,False,False,To protest the R.O.T.C. program,"R.O.T.C. office, Boston University",Incendiary,0,0,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office."
197002000000.0,1970-02-07,United States,North America,Whitewater,42.838355,-88.743224,Facility/Infrastructure Attack,,Educational Institution,,,School/University/Educational Building,,,Student Radicals,,,,True,False,False,,"Old Mail Hall, Wisconsin State College",Incendiary,0,0,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages."
197002000000.0,1970-02-08,United States,North America,New York City,40.697132,-73.931351,Bombing/Explosion,,Business,,,Multinational Corporation,,,Armed Revolutionary Independence Movement (MIRA),,,,True,False,False,To fight imperialism and exploitation.,Queens General Electric Service Center,Explosives,0,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages."
197002000000.0,1970-02-08,United States,North America,New York City,40.697132,-73.931351,Bombing/Explosion,,Business,,,Multinational Corporation,,,Armed Revolutionary Independence Movement (MIRA),,,,True,False,False,To fight imperialism and exploitation.,Brooklyn General Electric Service Center,Explosives,0,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages."
197002000000.0,1970-02-09,United States,North America,New York City,40.697132,-73.931351,Bombing/Explosion,,Business,,,Multinational Corporation,,,Armed Revolutionary Independence Movement (MIRA),,,,False,False,False,To fight imperialism and exploitation.,General Electric Headquarters,Explosives,0,0,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed."
197002000000.0,1970-02-09,United States,North America,Batavia,39.07859,-84.179414,Bombing/Explosion,,Private Citizens & Property,,,Named Civilian,,,Strikers,,,,True,False,False,Protest employees of General Electric who were not union members,Leslie Jewel,Explosives,0,0,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant."
197002000000.0,1970-02-10,West Germany (FRG),Western Europe,Munich,48.139126,11.580186,Armed Assault,,Airports & Aircraft,,,Airport,,,Popular Front for the Liberation of Palestine (PFLP),,,,True,False,False,,El Al Passenger Bus & Airport Lounge,Firearms,1,0,
197002000000.0,1970-02-11,United States,North America,Ypsilanti,42.263414,-83.665281,Facility/Infrastructure Attack,,Educational Institution,,,School/University/Educational Building,,,Student Radicals,,,,True,False,False,,,Incendiary,0,0,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages."
197002000000.0,1970-02-13,United States,North America,Berkeley,37.874043,-122.280022,Bombing/Explosion,,Police,,,"Police Building (headquarters, station, school)",,,Unknown,,,,True,False,False,,Police parking lot,Explosives,0,7,
197002000000.0,1970-02-13,West Germany (FRG),Western Europe,Munich,48.139126,11.580186,Facility/Infrastructure Attack,,Private Citizens & Property,,,House/Apartment/Residence,,,Popular Front for the Liberation of Palestine (PFLP),,,,True,False,False,,Jewish Old People's Home,Incendiary,7,9,
197002000000.0,1970-02-13,United States,North America,Berkeley,37.874043,-122.280022,Bombing/Explosion,,Police,,,"Police Building (headquarters, station, school)",,,Black Nationalists,,,,True,False,False,To intimidate the police.,Berkeley Police Station,Explosives,0,7,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings."
197002000000.0,1970-02-15,United States,North America,New York City,40.697132,-73.931351,Bombing/Explosion,,Business,,,Bank/Commerce,,,Left-Wing Militants,,,,True,False,False,,"Chase Manhattan Bank, East Village Branch",Explosives,0,0,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered."
197002000000.0,1970-02-15,United States,North America,Eugene,44.04483,-123.072606,Facility/Infrastructure Attack,,Military,,,Military Recruiting Station/Academy,,,Student Radicals,,,,True,False,False,To protest the University of Oregon's decision to retain the R.O.T.C. program,"R.O.T.C. storage area, University of Oregon",Incendiary,0,1,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program."
197002000000.0,1970-02-16,United States,North America,San Francisco,37.755363,-122.443352,Bombing/Explosion,,Police,,,"Police Building (headquarters, station, school)",,,Unknown,,,,True,False,False,,police station,Explosives,1,0,
197002000000.0,1970-02-16,United States,North America,Berkeley,37.874043,-122.280022,Bombing/Explosion,,Business,,,Retail/Grocery/Bakery,,,Unknown,,,,True,False,False,,department store,Explosives,0,0,
197002000000.0,1970-02-16,United States,North America,Berkeley,37.874043,-122.280022,Bombing/Explosion,,Business,,,Retail/Grocery/Bakery,,,Unknown,,,,True,False,False,,department store,Explosives,0,0,
197002000000.0,1970-02-16,United States,North America,San Francisco,37.755363,-122.443352,Armed Assault,,Police,,,Police Security Forces/Officers,,,Left-Wing Militants,,,,False,False,False,To intimidate the police.,San Francisco Police Officers,Firearms,0,0,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended."
197002000000.0,1970-02-17,United States,North America,Oakland,37.791927,-122.225906,Bombing/Explosion,,Business,,,Construction,,,Unknown,,,,False,False,False,,Walter Boysen Paint Company,Explosives,0,0,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated."
197002000000.0,1970-02-17,United States,North America,Buckeystown,39.334825,-77.431653,Bombing/Explosion,,Utilities,,,Electricity,,,Unknown,,,,True,False,False,,Power supply of the Frederick Maryland area,Explosives,0,0,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way."
197002000000.0,1970-02-17,United States,North America,Covington,30.493919,-90.132512,Bombing/Explosion,,Educational Institution,,,School/University/Educational Building,,,White extremists,,,,True,False,False,Suspected motive was to protest school integration.,Covington High School,Explosives,0,0,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated."
